-2024_9_14-21_28_26
8_18_42 | INFO | [AIRDROP] Players to start the airdrop.0
8_23_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
8_23_42 | DEBUG | [AIRDROP] Player count: 0
8_23_42 | INFO | [AIRDROP] Players to start the airdrop.0
8_28_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
8_28_42 | DEBUG | [AIRDROP] Player count: 0
8_28_42 | INFO | [AIRDROP] Players to start the airdrop.0
8_33_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
8_33_42 | DEBUG | [AIRDROP] Player count: 0
8_33_42 | INFO | [AIRDROP] Players to start the airdrop.0
8_38_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
8_38_42 | DEBUG | [AIRDROP] Player count: 0
8_38_42 | INFO | [AIRDROP] Players to start the airdrop.0
8_43_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
8_43_42 | DEBUG | [AIRDROP] Player count: 0
8_43_42 | INFO | [AIRDROP] Players to start the airdrop.0
8_48_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
8_48_42 | DEBUG | [AIRDROP] Player count: 0
8_48_42 | INFO | [AIRDROP] Players to start the airdrop.0
8_53_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
8_53_42 | DEBUG | [AIRDROP] Player count: 0
8_53_42 | INFO | [AIRDROP] Players to start the airdrop.0
8_58_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
8_58_42 | DEBUG | [AIRDROP] Player count: 0
8_58_42 | INFO | [AIRDROP] Players to start the airdrop.0
9_3_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
9_3_42 | DEBUG | [AIRDROP] Player count: 0
9_3_42 | INFO | [AIRDROP] Players to start the airdrop.0
9_8_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
9_8_42 | DEBUG | [AIRDROP] Player count: 0
9_8_42 | INFO | [AIRDROP] Players to start the airdrop.0
9_13_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
